musica,[25, 2, 4, 7, 10, 11, 16, 18, 23, 24, 27, 36, 37, 41, 43, 44, 47, 48]
cultural,[16, 2, 13, 18, 19, 20, 22, 27, 35, 43, 45, 46]
san,[13, 29, 30, 21, 31, 36, 42, 47]
cultura,[11, 18, 19, 23, 27, 40, 44, 48]
mas,[11, 10, 13, 21, 26, 39, 41]
danzas,[10, 4, 8, 10, 22, 26, 34, 41, 47, 49]
celebracion,[9, 3, 4, 12, 21, 28, 33, 35, 36, 40]
artistico,[9, 7, 13, 18, 20, 25, 43, 45, 46, 48]
tradicionales,[8, 7, 8, 10, 22, 28, 34]
culturales,[8, 2, 10, 13, 26, 27, 40]
tradicional,[8, 7, 15, 17, 18, 41, 43, 48]
artistas,[7, 12, 28, 32, 37, 40, 44]
desfiles,[7, 8, 14, 18, 32, 33, 40, 42]
musicales,[7, 14, 16, 26, 35, 37, 38]
patronales,[6, 14, 29, 31, 36, 39, 46]
traves,[6, 2, 7, 11, 12, 13, 27]
conciertos,[6, 3, 12, 38, 42]
el cairo,[60, 17, 18]
florida festival,[51, 21, 22, 24]
andalucia festival,[40, 2]
la victoria,[39, 29, 30, 28, 31]
ulloa fiestas,[33, 42]
bugalagrande fiestas,[31, 10]
sevilla encuentro,[31, 38]
el cerrito,[25, 19]
sevilla festival,[25, 37]
zarzal festival,[24, 49, 50]
la union,[24, 27]
caicedonia concurso,[23, 11]
bolivar festival,[23, 6]
pradera feria,[23, 33]
florida ii,[21, 23]
calima darien,[20, 13]
buenaventura encuentro,[19, 7]
candelaria fiestas,[19, 14]
toro carnaval,[19, 39]
tulua festival,[19, 41]
bolivar fiestas,[18, 5]
la cumbre,[18, 26]
versalles encuentro,[18, 44]
san pedro,[18, 36]
yotoco fiestas,[17, 47]
yumbo encuentro,[17, 48]
trujillo fiestas,[17, 40]
caicedonia fiestas,[17, 12]
cartago expobordados,[15, 15]
palmira fiesta,[15, 32]
argelia fiestas,[13, 4]
roldanillo aniversario,[13, 35]
dagua encuentro,[12, 16]
versalles fiestas,[12, 43]
riofrio festival,[11, 34]
buenaventura festival,[10, 8]
el dovio,[10, 20]
ansermanuevo fiestas,[10, 3]
alcala fiestas,[9, 1]
jamundi encuentro,[8, 25]
buga celebracion,[8, 9]
vijes ferias,[6, 45]
vijes fiestas,[5, 46]
florida festival de,[39, 21, 24]
andalucia festival nacional,[39, 2]
la victoria fiestas,[36, 29, 30, 28, 31]
el cairo festival,[35, 18]
ulloa fiestas de,[33, 42]
sevilla encuentro de,[30, 38]
